flags,instruction,category,intent,response
BIC,Quick question: i'm very dissatisfied with the service,FEEDBACK,complaint,I sincerely apologize for the inconvenience you've experienced. Your feedback is very important to us. Let me escalate this to our team immediately.
BIC,"Hi, can i track my shipment?",SHIPPING,delivery_period,Thank you for contacting us. Let me assist you with that right away.
BIC,how do i delete my account?,ACCOUNT,registration_problems,Thank you for contacting us. Let me assist you with that right away.
BIC,I need help - can i switch to a different account?,ACCOUNT,switch_account,Thank you for contacting us. Let me assist you with that right away.
BIC,"Hi, i need to cancel order #12345",ORDER,track_order,Thank you for contacting us. Let me assist you with that right away.
BIC,i was charged the wrong amount,PAYMENT,payment_issue,I'm sorry you're experiencing payment issues. Could you please describe the error you're seeing? I'll do my best to help resolve this quickly.
BIC,"Hi, my package was delivered to the wrong address",SHIPPING,track_shipment,"To track your shipment, please visit our tracking page and enter your tracking number. You can find it in your confirmation email."
BIC,can you process a refund for order #67890?,REFUND,check_refund_status,Thank you for contacting us. Let me assist you with that right away.
BIC,Quick question: i want to create a new account,ACCOUNT,create_account,I'd be happy to help you create a new account! Please visit our website and click 'Sign Up'. You'll need to provide your email address and create a password.
BIC,please cancel my service immediately,CANCELLATION,change_reason,Thank you for contacting us. Let me assist you with that right away.
BIC,Quick question: can you process a refund for order #67890?,REFUND,get_refund,I'll be happy to help you with a refund. Refunds are typically processed within 3-5 business days. Could you please provide your order number?
BIC,Urgent: i haven't received my refund,REFUND,refund_not_received,Thank you for contacting us. Let me assist you with that right away.
BIC,Quick question: i want to report a problem,FEEDBACK,review,Thank you for contacting us. Let me assist you with that right away.
BIC,"Hi, i'd like to stop my recurring payments",CANCELLATION,cancel_order,I'm sorry to hear you'd like to cancel your order. Let me look that up for you. Could you please provide your order number?
BIC,i want a refund for my purchase,REFUND,check_refund_status,Thank you for contacting us. Let me assist you with that right away.
BIC,I need help - i'd like to compliment your customer service,FEEDBACK,complaint,I sincerely apologize for the inconvenience you've experienced. Your feedback is very important to us. Let me escalate this to our team immediately.
BIC,"Hi, i need to update my profile",ACCOUNT,registration_problems,Thank you for contacting us. Let me assist you with that right away.
BIC,Urgent: can you process a refund for order #67890?,REFUND,check_refund_status,Thank you for contacting us. Let me assist you with that right away.
